id;caption;code;country_iso_code;deposit_num;swift_code;default_currency_code;currencies_codes;country_code;bank_code;branch_code
1;whether;passionate why given;hm cooked;gently inside until;untidy unhappy;plus very;mammoth;GF;pro um;resistance afterwards
2;afore ack disgust;certainly which;pack feminine;yahoo exaggerate technology;an ride;organic fooey hm;whose;TO;save roommate leading;woot when horrible
3;indeed ajar;ah;zesty;bleakly uh-huh where;though;than pish;unnaturally gah why;YT;over provided;kindheartedly
4;optimistically barring except;throughout;narrative up pish;gah;meanwhile vivaciously backpack;furthermore innocently;instrumentalist jaggedly boohoo;FK;which;instead
5;after sans timely;worth gentle;silly yippee loudly;about from yowza;following;or;psst;NU;rudely unused flamboyant;fend
6;oh;pace excluding within;gee;brink greedily vapid;dish er immortal;anti care robe;as;GD;speedily;huzzah somber carefully
7;automatic;sundial concerning modern;blah;loosely circa;quickly whether trolley;oxidise crumble kindly;at;MG;flay gah;psst
8;quintessential pinto;hm deafening;annually;well-documented and majestically;worry;anenst however expound;likewise gelatin;CV;whoa;dissimulate prime upon
9;supposing practical;minus alongside;of compensate;boo screwdriver;uneven;bungle popular;blindly lest;SG;with unsteady;hop consul
10;once;blah;lest;zowie among;safeguard;indeed;once teethe;BF;pfft bowed biodegradable;unconscious pish briskly
