id;assurance_percentage;commission_rate;customer_prepayment_rate_from;customer_prepayment_rate_to;duration_from;duration_to;order_registration_right_from;order_registration_right_to;post_suspension_period_penalty_rate;price_from;price_to;suspension_duration_from;suspension_duration_to;suspension_period_interest_rate;update_commission_rate;currency_code
1;5067.79;28037.58;32653.61;1888.61;23524;20085;4272.2;14734.6;11925.22;20315.51;21656.95;7907;26873;3574.47;28780.92;MGA
2;20463.55;30265.65;2435.97;14959.94;14293;4144;23221.39;9525.81;29915.83;14641.47;19751.95;25739;17296;11638.86;18843.84;MWK
3;3392.89;12371.38;28697.32;15364.2;21252;5012;26371.01;18835.16;653.51;9316.26;9239.42;22878;484;23573.95;8633.08;BHD
4;8609.97;31644.48;28860.15;10913.43;11057;7196;32427.25;20781.99;28592.01;28131.64;233.28;22780;25828;3428.54;17773.39;SGD
5;26483.45;505.36;1631.44;21460.28;25041;24706;29294.52;9571.19;24662.37;28171.91;25791.46;5453;5345;29576.77;19865.93;SRD
6;10201.45;32209.68;29845.74;13464.9;13778;18240;21461.96;24123.47;21426.37;23546.32;9333.8;29195;9363;23579.64;24605.96;MMK
7;3350.61;29377.51;15600.5;791.35;19194;18996;29560.77;2817.6;7132.13;11602.81;4459.54;28827;25488;19572.19;28567.97;AWG
8;21802.06;18327.57;32645.54;28435.74;19286;934;12795.71;27526.8;10423.91;29950.51;4183.53;780;13786;25726.04;24390.87;AFN
9;10868.08;14870.4;10615.33;6064.49;12381;11339;23261.7;30265.62;29833.81;26618.46;22578.13;25548;18645;27980.68;22180.57;XOF
10;14473.28;21095.64;14820.11;18278.46;16925;32397;21093.2;23016.8;5357.89;11952.27;9767.93;3547;7176;22047.87;122.9;DZD
