id;duration_from;duration_to;price_from;price_to;justification_disciplinary_topic;open_draft_disciplinary_topic;other_costs_topic;post_telegraph_swift_costs_topic
1;18524;28631;25000.97;18347.07;13503;25779;21510;11038
2;13463;15836;26981.42;2457.92;29122;20251;12881;3675
3;8662;29732;6772.11;21886.9;14541;22883;20681;30495
4;25167;12808;11260.86;9859.08;9609;14117;3215;17367
5;26935;15102;24678.7;22321.1;1728;14233;2006;115
6;18690;842;27324.83;9534.33;23208;3259;893;7222
7;28261;14521;29378.92;23922.03;18325;5940;20979;15553
8;3579;22024;14836.15;5861.44;30547;29028;24784;3234
9;21403;3667;28527.48;7729.94;21264;13218;19666;15850
10;21571;10857;9795.95;14109;17206;7167;30194;32280
