id;modification_date;latin_name;name;temp_id
1;what;yuck;duh gladly scarily;15867
2;overdue;facsimile scarce;dowse strap before;4736
3;admirable;astrologer gah;down what;6325
4;indeed apud;unnecessarily unless;bah plus turmeric;6429
5;barring whether as;badly;classroom and aside;31674
6;beneath times ack;minus;metallurgist;660
7;who yodel;whereas;wiggle eek;28603
8;beneath;delirious voluntarily spite;fatherly pew knowingly;22240
9;what doubtfully;spine magic;jolly cheerful plugin;21492
10;julienne;upliftingly duh bulky;unlike;1237
