id;item;tariff_code;product_name;product_id;box_count;box_type;pure_weight;impure_weight;amount_currency
1;gosh blindfolded;er watery;2462.54;18053;20801.68;soon snuggle;15589.27;26585.24;26285.81
2;immaterial fooey continually;which boohoo;30303.17;30464;22191.21;cumbersome;13711.11;22713.15;18710.34
3;sternly;yippee tennis freely;1323.89;11256;29867.21;mesh hopelessly rebound;18555.15;15303.79;9422.26
4;bother consequently brr;idolized ah each;20807.86;15914;1958.43;um kiddingly;19204.31;11073.49;26441.82
5;wherever plonk brr;antechamber;15969.33;25351;30250.57;entire fooey;22407.88;20543.34;8190.9
6;passionate skunk;to poised;30585.94;12876;14901.37;intent cleanse with;9651.04;5801.38;1987.34
7;yet past aw;bookmark diligent;32125.59;16847;22034.86;yowza painfully listen;7844.39;8528.81;396.9
8;upon;hurtful geez picture;19316.68;4607;565.73;infer meh because;30888.54;1046.75;20113.41
9;bah;ack per pish;14682.86;2264;6437.22;winner nab oof;2022.09;289.63;25619.62
10;shameless fondly wildly;till slowly gad;27967.19;5540;27998.26;underpay right over;25416.13;4257.4;28934.66
