id;document_receipt_disciplinary_account_id;draft_main_account_id;insurance_cost_account_id;justification_disciplinary_account_id;open_draft_disciplinary_account_id;other_costs_account_id;post_swift_costs_account_id;amount_deduction_account_id
1;21817;14382;7229;17076;16520;24277;9359;22319
2;21530;25664;10858;19818;16079;2953;14899;5162
3;29865;8474;5084;2373;31324;24186;14069;20645
4;28710;26616;7805;8187;5420;25290;22169;24058
5;3518;5360;12186;25840;1594;14367;15786;26591
6;22547;10003;20148;23780;4542;29048;20766;22714
7;29845;7928;17674;18872;9122;18636;16995;18594
8;697;4476;29591;15956;8314;17241;20494;29661
9;14817;7636;24582;28061;5868;4733;14968;30690
10;29941;119;7965;14691;6823;23285;23769;12211
