id;comment;customer_deliver_date;date;delete_date;deliver_date;deliver_duration;delivered;document_transaction_effective_date;freight_letter_date;freight_letter_number;freight_letter_stamp_cost;issue_date;issue_document;product_amount;receipt_amount;receipt_date;row;serial;transport_row;usable;net_weight;gross_weight;total_net_weight;total_gross_weight;letter_number_tazirat;letter_date_tazirat;fob_amount;shipping_fare;inspection_cost;discount;deadline_submit_document_date;currency_provision_file;currency_provision_file_content_type;is_migrational;other_cost
1;dishwasher thoroughly contagion;opera;instead uphold;legging over;underpants meanwhile however;10525;true;geez tarragon;stitch;notwithstanding overlooked;8333.31;huzzah;true;4912.48;31834.88;through above;10048;who optimistically petty;yummy;false;29086.37;27056.76;8525.74;27744.99;below pinto clamp;sing precious pun;31498.57;4264.11;6324.36;35.5;semantics manage;../fake-data/blob/hipster.png;image/png;false;21788.32
2;worrisome;where bah hastily;asterisk indeed steel;anti;overdue suddenly;17885;false;atrophy oh why;origin forenenst;unzip bravely near;8252.3;whenever jaggedly;false;3737.06;19188.45;why;10830;tradition post via;cleverly underneath caddy;false;12824.28;28499.96;20570.6;5377.16;legislature;final save evening;30247.3;18884.22;239.6;10149.74;behind;../fake-data/blob/hipster.png;image/png;true;31134.06
3;before tomorrow why;for athwart;assured rabbit;as single;squish once advocate;27272;true;wee extremely;meh;notable instead gadzooks;29442.18;sulfur;false;23626.67;15618.38;wheedle boo unconscious;401;if wherever;brr prime;false;24062.16;23532.61;8734.22;24500.27;spin;meanwhile;23036.22;30971.71;30455.27;19207.85;very;../fake-data/blob/hipster.png;image/png;false;29103.04
4;ugh about afore;phooey pickup spoil;drab;full;cooked arrogantly;17058;true;vengeful twittering;although;rapidly round apropos;9272.75;with whose;false;14751.55;27479.31;with;19478;yum;than tattered;false;15341.88;13870.39;24881.62;20001.79;barrel along that;prison engrave;10056.49;26521.93;3256.86;8608.41;given wherever;../fake-data/blob/hipster.png;image/png;true;22689.15
5;deduce toast ethical;whenever through;save nutmeg phooey;divan ew glistening;outside;19386;true;rash;uh-huh eliminate wherever;fast unselfish;5544.55;advantage;true;11815.26;20058.05;via annually an;17397;plus postbox confer;robust lilac;true;4292.68;7243.39;7035.28;14634.36;aha quick-witted;bankbook needily;5190.51;22241.32;22238.92;14597.2;boo whenever among;../fake-data/blob/hipster.png;image/png;false;9493.65
6;uh-huh circa conifer;throughout pfft;taut shame;whether;hmph;15672;true;tightly than astride;hence thorny;pencil past mediocre;23995.34;headquarters;false;4992.67;30306.46;seeker;19696;headache parched;rude;false;3845.55;18717.99;27130.56;29145.98;runner ah;furiously hm area;2530.19;16324.09;10080.88;12271.57;corsage;../fake-data/blob/hipster.png;image/png;false;19581.73
7;hypnotize;wrongly bite;duh pfft;decay from;down superficial sleepy;31936;true;until;perfumed huzzah yuck;whose till uselessly;18901;ha;false;26657.1;465.13;when;11977;ample cornerstone;councilor minus;false;14888.7;12935.64;10971.4;19277.38;when;greedily frozen aspire;27921.15;20228.95;16944.79;21721.94;across;../fake-data/blob/hipster.png;image/png;false;23063.12
8;dagger interviewer;woot agreeable;calmly;sniveling following;till ligand;7767;false;next lest for;horizon honestly washtub;gah;25390.51;boo;true;19938.66;18669;contractor;32312;jeep;within not rotating;false;10101.62;3195.85;22579.52;29851.93;atop bound;resign tapioca;19792.94;13114.92;22002.47;4947.49;indeed yowza highly;../fake-data/blob/hipster.png;image/png;false;18783.2
9;ugh scoff;amid fetter;upon arm-rest;ultimately sweetly coolly;gee;19820;true;if;confess after;off millstone;32511.73;beyond offensive;false;394.58;20248.36;whoever heavily wherever;4464;unlike competent;wind failing;false;11101.08;24326.08;23333.86;31603.54;exam wave symptom;apropos flavor;4288.14;27119.78;30182.31;8466.61;representative er bloat;../fake-data/blob/hipster.png;image/png;true;7454.4
10;toward zesty;or likewise absent;toward;blah;moccasins;15960;true;than during when;for of;worth sustain;4054.27;insignificant officially officially;false;14823.86;6431.07;frenetically drat interlock;26455;at sympathize;meh stop imperfect;false;15985.51;12310.56;2991.44;16549.23;majestically meanwhile legal;svelte during;22000.31;22753.2;28421.52;30838.01;pish nor;../fake-data/blob/hipster.png;image/png;true;17772.23
