id;approved;draft_request_accepted;insurance_cost_paid;issued;other_costs_paid;post_swift_cost_paied;reject_description;remain_amount;stamp_cost_paid
1;true;true;true;true;false;false;ape scarcely;8336.5;false
2;true;false;false;true;true;true;shout;30829.04;false
3;true;true;true;true;false;false;workhorse that;2382.16;true
4;false;false;false;false;false;false;quicker;14723.82;false
5;true;true;false;true;false;true;hm inasmuch huzzah;819.94;false
6;true;true;true;true;true;false;willing smuggle;14831.32;true
7;true;true;false;false;true;true;freely however;17464.12;false
8;true;true;true;false;false;true;gently;14807.2;false
9;true;false;false;true;false;false;corral;3193.86;false
10;true;true;false;true;true;true;from phew;27226.55;true
