id;order_reg_currency_amount;main_account_currency_amount;letter_number;letter_image;letter_image_content_type;description;registration_date;return_taxes_amount;order_reg_rate;main_account_rate
1;25297.34;16895.83;visor if plain;../fake-data/blob/hipster.png;image/png;exactly boohoo forenenst;after without;false;32667.92;23323.4
2;16531.29;7450.85;absolute questionably almond;../fake-data/blob/hipster.png;image/png;circa vary gah;jive;false;12908.6;14778.59
3;25615.11;13914.89;insert nearly;../fake-data/blob/hipster.png;image/png;aw medication;mmm vain hmph;false;20489.38;16848.11
4;13894.22;4380.48;teeming while terribly;../fake-data/blob/hipster.png;image/png;yum;loftily defender evidence;true;5137.68;16355.25
5;4189.38;28803.29;welcome spanish;../fake-data/blob/hipster.png;image/png;noisily congo;mini-skirt after handsome;false;14465.21;19507.03
6;6580.82;4091.71;well-documented geez likewise;../fake-data/blob/hipster.png;image/png;object hmph woot;brr during;false;22625;30915.54
7;11357.65;14443.96;immediately flan knavishly;../fake-data/blob/hipster.png;image/png;please disambiguate;orange whereas over;false;1552.9;14569.35
8;1604.32;320.02;gaffe;../fake-data/blob/hipster.png;image/png;considering vast;so uselessly officially;false;14339.74;16637.72
9;10804.41;20895.01;allay well-worn;../fake-data/blob/hipster.png;image/png;canalise gosh sanctify;pfft;true;15292.56;18356.92
10;30701.28;17002.47;whether;../fake-data/blob/hipster.png;image/png;tortellini;overlie upshift;false;7818.75;19940.89
