id;alarm_time;code;disable_date;duration;has_assurance;has_sanction;latest_credit_serial;name;portal;usable;currencies_codes;default_currency_code
1;15794;quintessential;weakly up correct;21507;true;false;15042;before;false;false;latter like woefully;ack
2;19561;zowie;transmit;26813;false;false;20581;even;true;false;colorfully worse;brr teeming although
3;27189;fooey concerning;droopy fooey colonisation;23590;true;true;13743;reignite rain institute;true;true;rip;abaft premeditation
4;10792;barrage;half-brother;16591;true;false;8523;buck;true;true;freely when;alligator vulture tape
5;32465;remarkable;energetically;3129;true;true;29776;finally patiently with;false;false;meh;um blah insurgence
6;22752;aha;even fatally tender;3531;true;true;6242;same;true;false;splosh likewise abundance;where dark brr
7;7692;quizzically;toughen headbutt;5031;true;false;17590;altruistic;false;false;recapture nor;gah now yowza
8;19267;excepting flat;student geez;23268;false;false;16292;gray;false;false;scapegoat huzzah;poor
9;12835;phooey;solicitor theft obediently;20744;true;false;21779;soupy;false;true;up liberate which;bobcat
10;15121;smuggle for;safely modulo;20886;false;false;11081;fat;false;true;orange lightly excluding;genetics agreeable
