id;currency_sell_commission_topic;document_receipt_disciplinary_topic;draft_main_topic;insurance_cost_topic;justification_disciplinary_topic;open_draft_disciplinary_topic;other_costs_topic;post_telegraph_swift_costs_topic
1;10877;2655;11920;3821;6419;9543;6534;20403
2;20075;10033;25958;14712;30835;4736;18542;10676
3;28762;9532;10392;26745;21727;12557;30229;14216
4;2010;2214;14197;23117;16049;7001;19917;2914
5;10301;6201;8383;8237;10740;9511;20664;32685
6;17712;29709;31313;24126;17330;22340;32636;21369
7;18135;28206;9661;12258;20276;9124;19193;31709
8;9854;1794;15956;7209;23612;6035;19430;23354
9;30435;4421;31192;18786;9686;23362;3231;10888
10;25707;11402;17450;24998;12564;23206;16667;2355
