id;assurance_rate_id;assurance_serial;exchange_rate;default_currency_used_cost;used_cost
1;festival grouch;paw;3332.97;29605.98;4235.15
2;following whoa;ew anenst;28844.11;1336.5;19385.88
3;helpless;when;2544.75;15738.86;16028.3
4;roughly;foolishly unless whoa;3884.31;10396.28;19670.56
5;forenenst attach nervously;gadzooks;2070.62;27977.58;14472.6
6;knowledgeable;kindheartedly wonderfully subordinate;28041.83;21120.41;13137.44
7;meh;lest meanwhile;22889.68;23313.69;15765.64
8;mixed ah powerfully;boo;9748.51;11281.31;17291.32
9;intrepid whine threaten;stunning interlink;20850.35;864.34;31255.08
10;indeed concerning;despite sadly modulo;28886.1;23183.36;31740.03
