id;receive_transaction_code;return_transaction_code;date;amount;amount_based_on_rial;deposit_number;receive_currency_code;currency_rate_date;sell_rate;buy_rate;comment
1;ugh meh downforce;fairly midst what;kookily grace;17479.06;5345.82;down uh-huh incidentally;boohoo till outside;royal passionate;27809.87;2032.61;whenever chronicle
2;kissingly yum;though monthly inasmuch;a besides;14795.13;16363.99;painfully;vibrant if launder;inasmuch sty premeditation;8424.37;9933.33;placode
3;on since huge;opposite even;vehicle;31794.16;29264.19;cathedral;athwart gather ew;seldom legal abnormally;27744.1;32501.66;next consequently
4;by for pound;because as junk;failing;19091.72;16758.82;appear;modulo identify;once granny;25942.75;14879.11;acidly
5;meh dash;dimple;boo;18510.68;26568.06;circa overconfidently;relocate deliberation including;however really;28157;27380.87;inwardly
6;arrogantly vital soar;a till;from;17010.61;9539.1;a save aw;however fooey;excellent above;21361.05;2519.73;inasmuch
7;father barring anguished;hidden gee;bridge wildly;24121.82;13803.43;alienated dig;whenever shrilly;hence defiantly;14611.12;29998.64;against
8;interestingly;lower;honestly;16212.71;9865.53;hm;that however;low;32667.63;23137.34;opposite for wrathful
9;manufacturer till;because after;stew ah lasagna;30155.35;27573.78;smirk abaft;circulate pfft interlock;geez quirky;30847.32;29914.76;boo yowza oh
10;fooey fooey;because;grubby pro eel;12081.43;7577.96;round until;vie fence declassify;judgementally incidentally;16060.94;2188.91;yummy throughout alpaca
