id;deduction_amount;equivalent_deduction_amount;receive_currency_code;comment
1;27652.42;11649.24;phew consequently;tamale inscribe including
2;24209.68;23458.53;worriedly meanwhile;um
3;12820.99;580.31;after nor victorious;kip
4;9978.07;4034.61;putrid usefully;whoever
5;3426.41;15285.17;circumnavigate hamburger actress;towards
6;20762.46;25181.06;opposite pro blindly;happily positively even
7;25540.58;29263.01;retrain loftily gadzooks;douse brr including
8;17333.37;30513.06;consequently bicycle;neonate boo
9;24368.77;20565.2;restfully overconfidently;framework
10;1938.2;15920.92;concerning repeatedly boohoo;iris unto
