id;organization_licence;licence_number;licence_date;having_product;having_service;credit_date
1;cull silica;sully;strictly;true;true;warmly honest
2;pitiful for;woot;stagnate beyond;true;true;engineer incarnate
3;pro gah;hourly detail er;although;false;false;afore beautifully
4;ah;amidst;mean publicise particle;true;false;snappy commiserate lest
5;underneath;where commercial beseech;amidst embed;true;true;meh properly delirious
6;or trek;standard;dupe mid;false;false;equatorial fooey unto
7;basic remorseful;behind unfortunate clasp;suede snuffling catalyst;true;false;oof hm whose
8;even ouch;astride whoa;tenement meatloaf;true;false;scarcely noisily
9;unless;whoever via accidentally;than even stint;false;true;although
10;provided geez;easy;which bashfully bustle;true;false;dense
