id;street_address;postal_code;city;state_province
1;fleck profane down;handmade chronicle showy;Franeckiville;near styling drat
2;guffaw from;bah absent;South Monserrate;quaint yowza sneeze
3;equalise who;attentive;Bergstromboro;whose amidst
4;bah defensive;ha yuck without;South Marquis;honorable
5;woot fast forenenst;yahoo an deceivingly;Cristboro;trading budget
6;softball upon drat;robust over;Dickinsonland;gosh or
7;burdensome before innocently;loftily who pfft;Kenosha;worriedly but famous
8;outlying disseminate watery;shameless lest;Mayertown;if ha jubilantly
9;outside soft;gosh outbid fortify;Drewshire;while yippee conception
10;ouch;sinful apud;Mireillechester;beyond until so
