id;amount;currency_amount;unit;title;code
1;8234.07;31573.78;dud lightly how;frankly;inasmuch
2;3605.5;21450.01;fiddle viciously baggy;duck;lively
3;9676.48;23419.76;up gee whose;inasmuch for hm;brr urgently
4;4998.43;25666.48;and huzzah;excellent because;frenetically
5;353.64;9871.82;truthfully caddy;tachometer paste concerning;second-hand gee boo
6;30976.34;26141.73;provided atop softball;mealy;inside
7;19843.35;6952.24;what monthly;though usefully vicious;warmhearted
8;5931.74;25807.71;and unfortunately;quickly;cavernous loftily
9;27980.84;24988.96;gadzooks;flung pixelate archer;bah
10;15929.21;14044.1;consequently during radiate;likely gee;the ceremony after
