id;amount;currency_amount;unit;title;code
1;6803.66;26423.99;while babysit;nightingale tension;incidentally
2;7997.8;3757.11;furthermore now;unsightly than;psst license as
3;18070.18;3341.31;drat appal;around if indeed;blubber that coliseum
4;25412.61;9367.66;yet;sermon factorize;satiate starry grand
5;12863.47;20964.62;accouter eventually;that sweetly to;if frightfully
6;13967.28;22921.55;only;beyond;provided for scented
7;12123.43;2459.94;at mmm;upon;as
8;26685.72;4580.95;repeatedly brr gen;lazy junior;close gah or
9;19052.11;32292.33;hence softly obediently;incapacitate luxurious;fooey
10;16044.2;27562.74;officially so;muddy spearhead cauterize;easily
