id;code;modification_date;name;description;topic_code;attribute_value_group_name
1;gee;narrate fondly following;dimly fatally;juvenile signal throughout;slowly yawning whoa;a
2;even openly versus;wholly;upright;literature regarding;aha testy forenenst;communication oof whose
3;meanwhile gadzooks sturdy;glow because ah;how doubtfully;rubbery hm;yowza;uh-huh
4;for;well-made;oil;emulate;an sequence;finally plasterboard now
5;anenst;oh long-term liven;blah often overconfidently;the glimmer;institution loathsome;yippee
6;lest;when nondisclosure;supposing by yahoo;wasteful familiar;intentional pattern sometimes;yum
7;mama;er huzzah but;gee huzzah plaintive;fixed;load;whale outlandish
8;for;accidentally but;yahoo medicate swanling;duh;shop yahoo;per selfishly minus
9;finally mechanically off;forthright under novel;midst violent;even sinful;criminal;fox redecorate
10;jaggedly;solemnly;than slow;frantically since;inasmuch;when
