id;description;modification_date;topic_code
1;defenseless;meanwhile fiddle;brr elegant
2;brightly rubbery nearly;brr supposing;yahoo genie tan
3;brightly;gee;infest
4;whoa lovingly;optimistically;gadzooks on wobbly
5;block regarding;gah;spiffy absolve with
6;thankfully miniature;suburban;upwardly perforate curiously
7;effectuate lest;rowdy underneath;wooden
8;overgeneralize psst;including trained;esteemed phooey lest
9;replacement;onto grave upright;kissingly
10;nor next team;relaxation amongst;and coaxingly pro
