id;evidence_code;currency_supplier_description;amount;purchase_rate;order_registration_amount;request_date;confirmation_date;description;purchase_number;purchase_currency_name
1;ah;woot chasten left;25480.44;21099.41;18894.91;cynic;beside;infiltrate;that quarterly;where from hot
2;plus greedily asymmetry;denominate;17630.93;21581.6;6116.53;transmit;athwart;neglect spend;flex;worthy
3;per;whenever;546.5;7242.04;23647.11;out drab;creature questionably;spend yahoo smoothly;torn meanwhile;doodle although
4;meet nor trousers;grenade metallic;6251.31;11278.87;30586.71;mess beside halt;whoever;conscious failing;mechanically hoard;bah aha
5;outside;after;8205.65;1514.74;22559.73;fireplace shrine;micronutrient what;than nor;downsize vaguely lest;reassuringly shimmering adorable
6;mortally erupt;dependent beneath;30100.95;9042.84;25831.97;impose restfully excited;news kidney awesome;snarling;cavernous lest;gummy sleepily why
7;atop ha kettledrum;rigidly keen;10279.8;5684.44;10490.01;unless well-documented;unfortunately;phooey infant although;what cluttered for;athwart if before
8;notwithstanding;cadge fire;29830.03;26812.62;12021.1;spotlight neglected;fast iconify maternity;coaxingly whereas yowza;loosely foolhardy affect;which eek
9;deeply;conserve unsung;12743.52;13722.09;19918.97;fooey grand starchy;proctor meanwhile why;dedication outside;bemuse;amid fringe
10;bah fruitful cheerfully;eminent yearly;294.55;22108.58;8944.49;versus jam;since urgently;outline decriminalise;composition exemplary;bumpy by
