id;latin_name;modification_date;name
1;unnecessarily;size mouse ick;terribly than um
2;woot before;reflecting;eyrie er hmph
3;er across clause;underneath fooey geez;utilise till tankful
4;oof;drab because cautiously;next knacker bathe
5;secondary whether abaft;deep likewise past;yippee
6;in;as provided ocelot;yesterday black
7;ugh plight furthermore;readmit;belated
8;exhibition against boohoo;upliftingly happy um;carbonise internal delightful
9;even phew;although kookily roam;jellyfish
10;consequently until;off;nor
